"id","parent_id","ba","en","hr","me","sr","sr-Latn"
1,0,"Insekti","Insects","Kukci","Insekti","Инсекти","Insekti"
2,1,"Dnevni leptiri (Rhopalocera)","Butterflies (Rhopalocera)","Dnevni leptiri (Rhopalocera)","Dnevni leptiri (Rhopalocera)","Дневни лептири (Rhopalocera)","Dnevni leptiri (Rhopalocera)"
8,0,"Vodozemci","Amphibians","Vodozemci","Vodozemci","Водоземци","Vodozemci"
9,0,"Gmizavci","Reptiles","Gmazovi","Vodozemci","Гмизавци","Gmizavci"
11,1,"Vilini konjici","Dragonflies","Vretenca","Vilini konjici","Вилини коњици","Vilini konjici"
12,9,"Zmije","Snakes","Zmije","Zmije","Змије","Zmije"
13,9,"Gušteri","Lizards","Gušteri","Zmije","Гуштери","Gušteri"
14,9,"Kornjače","Turtles","Kornjače","Kornjače","Корњаче","Kornjače"
15,8,"Repati vodozemci","Tailed amphibians","Repaši","Repati vodozemci","Репати водоземци","Repati vodozemci"
16,8,"Bezrepi vodozemci","Frogs and toads","Bezrepci","Bezrepi vodozemci","Безрепи водоземци","Bezrepi vodozemci"
17,1,"Tvrdokrilci","Beetles","Kornjaši","Tvrdokrilci","Тврдокрилци","Tvrdokrilci"
18,1,"Noćni leptiri","Moths","Noćni leptiri","Noćni leptiri","Ноћни лептири","Noćni leptiri"
19,0,"Sisari","Mammals","Sisavci","Sisari","Сисари","Sisari"
20,19,"Sisari","Mammals","Sisavci","Sisari","Сисари","Sisari"
21,1,"Pravokrilci","Crickets and grasshoppers","Ravnokrilci","Pravokrilci","Правокрилци","Pravokrilci"
23,1,"Stjenice","True bugs","Stjenice","Stjenice","Стенице","Stenice"
24,1,"Bogomoljke","Mantises","Bogomoljke","Bogomoljke","Богомољке","Bogomoljke"
25,0,"Ptice","Birds","Ptice","Ptice","Птице","Ptice"
26,25,"Ptice","Birds","Ptice","Ptice","Птице","Ptice"
27,1,"Bumbari","Bumblebees","Bumbari","Bumbari","Бумбари","Bumbari"
28,1,"Osolike muhe","Hoverflies","Cvjetne muhe","Osolike muhe","Осоликe мувe","Osolike muve"
29,0,"Hrskavičave ribe","Cartilaginous fishes","Hrskavičnjače","Hrskavičave ribe","Рушљорибе","Rušljoribe"
30,29,"Ajkule","Sharks","Morski psi","Ajkule","Aјкуле","ajkule"
31,29,"Raže","Rays and skates","Raže","Raže","Раже","Raže"
32,1,"Mravi","Ants","Mravi","Mravi","Мрави","Mravi"
33,0,"Biljke","Plants","Biljke","Biljke","Биљке","Biljke"
34,33,"Preslice","Horsetails","Presličovnice","Preslice","Раставићи","Rastavići"
35,33,"Crvotočine","Lycophytes","Crvotočnice","Crvotočine","Пречице","Prečice"
36,33,"Mahovine","Moss","","Mahovine","Маховине","Mahovine"
37,33,"Paprati","Ferns","","Paprati","Папрати","Paprati"
38,33,"Skrivenosjemenjače","Flowering plants","","Skrivenosjemenjače","Скривеносеменице","Skrivenosemenice"
39,33,"Golosjemenjače","Gymnosperms","","Golosjemenjače","Голосеменице","Golosemenice"
40,1,"Paličnjaci","Stick Insects","Paličnjaci","Paličnjaci","Паличњаци","Paličnjaci"
41,1,"Škorpionske muhe","Scorpionflies","Škorpionske muhe","Škorpionske muhe","Муве-шкорпије","Muve-škorpije"
44,0,"Gljive","Fungi","Gljive","Gljive","Гљиве","Gljive"
45,44,"Gljive mješinarke","Sac fungi","Gljive mješinarke","Gljive mešinarke","Гљиве мешинарке","Gljive mešinarke"
46,0,"Slatkovodni rakovi","Crayfish","Slatkovodni rakovi","Slatkovodni rakovi","Ракови","Rakovi"
47,46,"Slatkovodni rakovi","Crayfish","Slatkovodni rakovi","Slatkovodni rakovi","Слатководни ракови","Slatkovodni rakovi"
48,44,"Više gljive","Higher fungi","Gljive stapčarke","Više gljive","Више гљиве","Više gljive"
49,44,"Lišajevi","Lichen","Lišaji","Lišaji","Лишаји","Lišaji"
50,1,"Uholaže","Earwigs","Uholaže","Uholaže","Ухолаже","Uholaže"
51,1,"Mrežokrilci","Net-winged insects","Mrežokrilci","Mrežokrilci","Мрежокрилци","Mrežokrilci"
53,0,"Ostali beskičmenjaci","","","Ostali beskičmenjaci","Остали бескичмењаци","Ostali beskičmenjaci"
54,53,"Pauci","","","Pauci","Пауци","Pauci"
