"id","parent_id","ba","en","hr","me","sr","sr-Latn"
1,0,"Insekti","Insects","Kukci","","Инсекти","Insekti"
2,1,"Dnevni leptiri (Rhopalocera)","Butterflies (Rhopalocera)","Dnevni leptiri (Rhopalocera)","","Дневни лептири (Rhopalocera)","Dnevni leptiri (Rhopalocera)"
8,0,"Vodozemci","Amphibians","Vodozemci","","Водоземци","Vodozemci"
9,0,"Gmizavci","Reptiles","Gmazovi","","Гмизавци","Gmizavci"
11,1,"Vilini konjici","Dragonflies","Vretenca","","Вилини коњици","Vilini konjici"
12,9,"Zmije","Snakes","Zmije","","Змије","Zmije"
13,9,"Gušteri","Lizards","Gušteri","","Гуштери","Gušteri"
14,9,"Kornjače","Turtles","Kornjače","","Корњаче","Kornjače"
15,8,"Repati vodozemci","Tailed amphibians","Repaši","","Репати водоземци","Repati vodozemci"
16,8,"Bezrepi vodozemci","Frogs and toads","Bezrepci","","Безрепи водоземци","Bezrepi vodozemci"
17,1,"Tvrdokrilci","Beetles","Kornjaši","","Тврдокрилци","Tvrdokrilci"
18,1,"Noćni leptiri","Moths","Noćni leptiri","","Ноћни лептири","Noćni leptiri"
20,34,"Sisari","Mammals","Sisavci","","Сисари","Sisari"
21,1,"Pravokrilci","Crickets and grasshoppers","Ravnokrilci","","Правокрилци","Pravokrilci"
23,1,"Stenice","True bugs","Stjenice","","Стенице","Stenice"
24,1,"Bogomoljke","Mantises","Bogomoljke","","Богомољке","Bogomoljke"
25,1,"","Hoverflies","Cvjetne muhe","","Осолике муве","Osolike muve"
26,1,"","Hymenoptera","Opnokrilci","","Бумбари","Bumbari"
27,1,"","Earwigs","Uholaže","","Ухолаже","Uholaže"
30,35,"","Crayfish","Rakovi","","Ракови","Rakovi"
31,0,"Slatkovodne ribe","Fish","Slatkovodne ribe","","Рибе",""
32,31,"Ribe","Fish","Ribe","","Рибе","Ribe"
33,1,"Mrežokrilci","Net-winged insects","Mrežokrilci","","Мрежокрилци","Mrežokrilci"
34,0,"Sisavci","Mammals","Sisavci","","Сисари","Sisari"
35,0,"","Crayfish","Slatkovodni rakovi","","Ракови","Rakovi"
36,1,"Paličnjaci","stick insects","Paličnjaci","","Паличњаци","Paličnjaci"
37,0,"Biljke","Plants","Biljke","Biljke","Биљке","Biljke"
38,37,"Mahovine","Mosses","Mahovine","Mahovine","Маховине","Mahovine"
39,37,"Prečice","Lycopods","Lycopodiophyta","Prečice","Пречице","Prečice"
40,37,"Rastavići","Horsetails","Presličovnice","Rastavići","Раставићи","Rastavići"
41,37,"Paprati","Ferns","Papratnjače","Paprati","Папрати","Paprati"
42,37,"Golosemenice","Gymnosperms","Gymnosperms","Golosemenice","Голосеменице","Golosemenice"
43,37,"Skrivenosemenice","Flowering plants","Kritosjemenjače","Skrivenosemenice","Скривеносеменице","Skrivenosemenice"
44,37,"Pršljenčice (hare)","Charophytes","Pršljenčice (hare)","Pršljenčice (hare)","Пршљенчице (харе)","Pršljenčice (hare)"
45,0,"Ptice","Birds","Ptice","Ptice","Птице","Птице"
46,45,"Ptice","Birds","Ptice","Ptice","Птице","Ptice"
47,0,"Gljive","Fungi","Gljive","Gljive","Гљиве","Gljive"
48,47,"Gljive mešinarke","Sac fungi","Gljive mješinarke","Gljive mešinarke","Гљиве мешинарке","Gljive mešinarke"
49,47,"Više gljive","Higher fungi","Gljive stapčarke","Više gljive","Више гљиве","Više gljive"
50,47,"Zigomiceti","Zygote fungi","Zigomiceti","Zigomiceti","Зигомицети","Zigomiceti"
51,47,"Hitridomikoti","Chytrids","Hitridomikoti","Hitridomikoti","Хитридомикоти","Hitridomikoti"
52,47,"Hromisti","Chromista","Kromisti","Hromisti","Хромисти","Hromisti"
53,47,"Praživotinje","Protozoans","Praživotinje","Praživotinje","Праживотиње","Praživotinje"
54,47,"Lišaji","Lichen","Lišajevi","Lišaji","Лишаји","Lišaji"
55,0,"Paučnjaci","Arachnids","Paučnjaci","Paukoliki zglavkari","Пауколики зглавкари","Paukoliki zglavkari"
56,55,"Pauci","Spiders","Pauci","Pauci","Пауци","Pauci"
