"id","parent_id","ba","en","hr","me","sr","sr-Latn"
1,0,"Kičmenjaci","Vertebrates","Kralježnjaci","Kičmenjaci","Кичмењаци","Kičmenjaci"
2,1,"Zmije","Snakes","Zmije","Zmije","Змије","Zmije"
3,0,"Insekti","Insects","Insekti","Insekti","Инсекти","Insekti"
4,3,"Dnevni leptiri","Butterflies","Dnevni leptiri","Dnevni leptiri","Дневни лептири","Dnevni leptiri"
5,0,"Gljive","Fungi","Gljive","Gljive","Гљиве","Gljive"
6,0,"Biljke","Plants","Biljke","Biljke","Биљке","Biljke"
7,6,"Hare","Charophytes","Hare","Hare","Пршљенчице (харе)","Pršljenčice (hare)"
8,6,"Mahovine","Mosses","Mahovine","Mahovine","Маховине","Mahovine"
9,6,"Prečice","Lycopods","Lycopodiophyta","Prečice","Пречице","Prečice"
10,6,"Rastavići","Horsetails","Presličovnice","Rastavići","Раставићи","Rastavići"
11,6,"Paprati","Ferns","Paprati","Paprati","Папрати","Paprati"
12,6,"Golosemenice","Gymnosperms","Golosemenjače","Golosemenice","Голосеменице","Golosemenice"
13,6,"Skrivenosemenice","Flowering plants","Skrivenosemenjače","Skrivenosemenice","Скривеносеменице","Skrivenosemenice"
14,1,"Gušteri","Lizards","Gušteri","Gušteri","Гуштери","Gušteri"
15,1,"Kornjače","Turtles","Kornjače","Kornjače","Корњаче","Kornjače"
16,1,"Žabe","Frogs","Bezrepci","Žabe","Жабе","Žabe"
17,1,"Repati vodozemci","Tailed amphibians","Repaši","Repati vodozemci","Репати водоземци","Repati vodozemci"
18,1,"Ptice","Birds","Ptice","Ptice","Птице","Ptice"
19,1,"Sisari","Mammals","Sisavci","Sisari","Сисари","Sisari"
20,3,"Stenice","True bugs","Stjenice","Stjenice","Стенице","Стенице"
21,5,"Gljive mešinarke","Sac fungi","Gljive mešinarke","Gljive mešinarke","Гљиве мешинарке","Gljive mešinarke"
22,5,"Više gljive","Higher fungi","Gljive stapčarke","Više gljive","Више гљиве","Više gljive"
23,5,"Zigomiceti","Zygot fungi","Zigomiceti","Zigomiceti","Зигомицети","Zigomiceti"
24,5,"Hitridomikoti","Chytrids","Hitridomikoti","Hitridomikoti","Хитридомикоти","Hitridomikoti"
25,5,"Hromisti","Chromista","Kromisti","Hromisti","Хромисти","Hromisti"
26,5,"Praživotinje","Protozoans","Praživotinje","Praživotinje","Праживотиње","Praživotinje"
27,5,"Lišaji","Lichen","Lišajevi","Lišaji","Лишаји","Lišaji"
